Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
Have you noticed any unusual changes in the color of your skin or eyes?,"Bẹ́ẹ̀ni, ojú mi ti yẹra. Ó ti yẹra sí àwọ̀ pẹ̀lú. Mo sì rí àwọ̀ òyìnyìn nínú rẹ̀.","Yes, my eyes have changed color. They have also changed color to yellowish. And I see a yellowish tint in them.","Yes, eye my has changed. It has changed to color with. I also see color yellowish in it."
Have you noticed any changes in your vision recently?,"Bẹ́ẹ̀ni, ojú mi máa ń fọ́, ó sì máa ń ṣókùnkùn nígbà mìíràn.","Yes, my vision sometimes blurs, and it sometimes gets dark.","Yes, eye my usually blurs, it also usually darkens sometimes."
Do you have a family history of diabetes or high blood pressure?,"Bẹ́ẹ̀ni, Dókítà. Bàbá mi ní àìsàn ṣúgà, ìyá mi sì ní ẹ̀jẹ̀ ríru.","Yes, Doctor. My father has diabetes, and my mother has high blood pressure.","Yes, Doctor. My father has sickness sugar, my mother also has blood pressure."
Are you currently experiencing any blurred vision?,"Bẹ́ẹ̀ni, ojú mi ma ń wò mí ríru, pàápàá nígbà tí mo bá kàwé tàbí wo tẹlifíṣọ̀n.","Yes, my vision gets blurry, especially when I read or watch television.","Yes, eyes my usually look blurry to me, especially when I read or watch television."
Can you describe your arthritis pain?,"Oríkèé àwọn ìka ọwọ́ mi máa ń dùn mí gan-an, pàápàá ní àárò.","The joints of my fingers hurt severely, especially in the morning.","Joints of the fingers of my hands always hurt me very much, especially in the morning."
How often do you check your blood sugar?,"Mo máa ń ṣàyẹ̀wò ìwọ̀n ṣúgà mi lẹ́ẹ̀kan lọ́sẹ̀, nígbà mìíràn sì ni lẹ́ẹ̀mejì.","I usually check my sugar level once a week, and sometimes twice.","I usually check level sugar my once a week, time other and is twice."
How much water do you drink daily?,"Kò pọ̀ bẹ́ẹ̀, mo máa ń mu omi díẹ̀ gan-an ní ọjọ́ kan.","Not much, I usually drink very little water daily.","Not much so, I usually drink water a bit very much in day one."
We need to collect a blood sample for testing. Is that okay?,"Bẹ́ẹ̀ni, ó dára, ṣùgbọ́n ṣe kò ní dun mí gan-an bí?","Yes, it's fine, but it won't hurt me too much, will it?","Yes, it is good, but is it not going to pain me very much will it?"
"Do you feel short of breath, even at rest?","Bẹ́ẹ̀ni, mo máa ń rí èémí kúkúrú, kódà tí mo bá jókòó lásán.","Yes, I experience shortness of breath, even when just sitting down.","Yes, I always see breath short, even if I sit simply."
Have you been diagnosed with malaria recently?,"Bẹ́ẹ̀ni, mo ṣẹ̀ṣẹ̀ parí oògùn ibà tútù mi láròọ́yá.","Yes, I just finished my malaria medication yesterday.","Yes, I just finished medicine fever cold my yesterday."
Do you have any history of chronic conditions like diabetes or hypertension?,"Bẹ́ẹ̀ni, mo ní ẹ̀jẹ̀ ríru, mo sì ń mú òògùn rẹ̀ déédéé.","Yes, I have hypertension, and I take its medication regularly.","Yes, I have blood high, I also am taking medicine its regularly."
Have you had a recent malaria test?,"Bẹ́ẹ̀ni, mo ṣe é ní ọ̀sẹ̀ tó kọjá, wọ́n sọ pé ó wà níbẹ̀, ṣùgbọ́n mo ti mu oògùn rẹ̀.","Yes, I did it last week; they said it was positive, but I have taken the medication for it.","Yes, I did it in week that passed, they said it is there, but I have taken medicine its."
We need to insert an intravenous line to administer fluids.,Ṣé kò ní dun mi jù? Mo máa ń bẹ̀rù abẹ́rẹ́ gan-an. Ṣé yóò yá mi lára lẹ́yìn náà?,Will it not hurt me too much? I am very afraid of needles. Will I feel better afterwards?,Is it not will hurt me too much? I usually am afraid needle very much. Is I will feel better afterwards?
Are you currently on any medication for your hypertension or diabetes?,"Bẹ́ẹ̀ni, mo ń mu oògùn fún ìfúnpá àti àìsàn ṣúgà mi déédéé.","Yes, I regularly take medication for my blood pressure and diabetes.","Yes, I am taking medicine for blood pressure and sickness sugar my regularly."
Would you like a refill of your usual medication today?,"Bẹ́ẹ̀ ni, òògùn mi ti fẹ́ tán, mo sì fẹ́ tún un ra.","Yes, my medication is almost finished, and I want to buy a refill.","Yes, medicine my has wanted to finish, I also want to refill it buy."
Do you have high blood pressure?,"Bẹ́ẹ̀ni, mo ní ẹ̀jẹ̀ ríru. Dókítà mi sọ pé kí n máa mú oògùn mi déédé.","Yes, I have hypertension. My doctor advised me to take my medication regularly.","Yes, I have blood high. Doctor my said that I should be taking medicine my regularly."
Do you exercise regularly?,"Rárá o, mi ò rí àkókò fún ìdárayá rárá nítorí iṣẹ́ púpọ̀.","No, I don't find time for exercise at all due to a lot of work.","No oh, I not find time for exercise at all because of work much."
Do you feel any burning sensation when you urinate?,"Bẹ́ẹ̀ni, ó máa ń jóná gan-an nígbà tí mo bá ń tọ̀.","Yes, it really burns when I urinate.","Yes, it usually burns very much when I if am urinating."
Are you able to recall everything that happened?,"Bẹ́ẹ̀ni, mo rántí gbogbo ohun tí ó ṣẹlẹ̀ títí tí mo fi rọ̀ lulẹ̀.","Yes, I remember everything that happened up until I fell.","Yes, I remember all things that it happened until that I fell down."
Are you currently experiencing any chest pain?,"Bẹ́ẹ̀ni, mo ńgba ìrora àyà báyìí, ó sì ńfun mi lọ́rùn.","Yes, I am currently experiencing chest pain, and it feels constricting.","Yes, I am receiving pain chest now, it also choking me."
When was your due date for this pregnancy?,"Gẹ́gẹ́ bí ẹ ti sọ fún mi tẹ́lẹ̀, ọjọ́ kẹẹ̀ẹ́dọ́gbọ̀n oṣù kẹ́jọ ni.","As you told me before, it's the 25th of August.","According as you said to me before, day twenty-fifth month eighth is."
Do you have any history of high blood pressure?,"Bẹ́ẹ̀ni, mo ní ìtàn ẹ̀jẹ̀ ríru, àmọ́ n kò mú oògùn rẹ̀ déédéé.","Yes, I have a history of high blood pressure, but I haven't been taking my medication regularly.","Yes, I have history of blood high, but I not take medicine its regularly."
Do you have any known medical conditions like diabetes or hypertension?,"Bẹ́ẹ̀ni, mo ní àìsàn àtọ̀gbẹ, mo sì ń mu oògùn rẹ̀ déédéé.","Yes, I have diabetes, and I take my medication regularly.","Yes, I have sickness diabetes, I and am drinking medicine its regularly."
Have you taken your medication today?,"Bẹ́ẹ̀ ni, mo mu òun méjèèjì ní òwúrọ̀ yìí pẹ̀lú omi.","Yes, I took both of them this morning with water.","Yes, I took them both in morning this with water."
What did you eat last night?,"Mo jẹ iṣu èlúkà pẹlu ẹ̀fọ́ yányán, ṣùgbọ́n kò pẹ́ tí mo jẹ ẹ́ tí ikùn mi fi bẹ̀rẹ̀ sí í fún mi.","I ate pounded yam with a vegetable soup, but shortly after eating it, my stomach started cramping.","I ate pounded yam with soup vegetable, but it didn't last long that I ate it that stomach my then started to squeeze me."
"How would you rate your pain on a scale of 1 to 10, with 10 being the worst?","Ó wà ní ìpele mẹ́jọ nísìyín, dókítà. Kò rọrùn rárá.","It's at level eight now, doctor. It's not easy at all.","It is at level eight now, doctor. It not easy at all."
"Good morning, what brings you to the clinic today?","Ẹ kú àárọ̀, òkùnkùn máa ń bo ojú mi lójijì, àárẹ̀ sì ti mú mi púpọ̀.","Good morning, my vision often blurs suddenly, and I feel very fatigued.","You good morning, darkness often covers eye my suddenly, fatigue also has taken me much."
Have you had any episodes of fainting or feeling like you might pass out?,"Bẹ́ẹ̀ ni, mo ti dákú lẹ́ẹ̀mejì ní oṣù yìí, mo sì máa ń fẹ́ gbẹ́ ara mi.","Yes, I have fainted twice this month, and I often feel like I'm about to collapse.","Yes, I have fainted twice in month this, I also usually want to dry my body."
Have you been exposed to anyone with a contagious illness?,"Bẹ́ẹ̀ni, aládùúgbò mi kan ṣẹ̀ṣẹ̀ kó àìsàn ibà tí ó gbóná gan-an.","Yes, a neighbor of mine recently contracted a very severe malaria illness.","Yes, neighbor my one just contracted illness malaria that it is hot very-very."
Are you sexually active?,"Bẹ́ẹ̀ni, ṣùgbọ́n mo ńlo ààbò.","Yes, but I use protection.","Yes, but I am using protection."
How many times have you vomited today?,"Mo ti bì ní ẹ̀ẹ̀mẹ́rin báyìí láti àárọ̀, kò sì dúró.","I have vomited four times already since morning, and it hasn't stopped.","I have vomited four times now since morning, and it has not stopped."
Are you experiencing any chest pain?,"Bẹ́ẹ̀ni, igbá ọkàn mi ń rò mí gan-an, ó sì ń tàn dé apá òsì mi.","Yes, I have severe chest pain, and it radiates to my left arm.","Yes, chest heart my is hurting me very much, it is also radiating to arm left my."
Have you travelled recently outside the country?,"Rárá o, Dókítà. Mi ò kúrò ní ìlú yìí rí láìpẹ́.","No, Doctor. I haven't left this town recently.","No oh, Doctor. I did not leave in town this before recently."
Good morning. What brings you to the hospital today?,"Ẹ káàárọ́, Dókítà. Ara mi kò yá rárá, ibà púpọ̀ sì mú mi.","Good morning, Doctor. I am not feeling well at all, and I have a high fever.","You greet morning, Doctor. My body not well at all, fever much still catches me."
Can you describe the location of the pain more precisely?,"Ó wà ní ìhà ọ̀tún mi, níbi tó wà láàárín àyà àti ikùn.","It's on my right side, between my chest and abdomen.","It is in side right my, in place that is between chest and stomach."
Have you noticed any rashes or itching on your skin?,"Bẹ́ẹ̀ ni. Àwọn egbò kékeré kan ti fara hàn lára mi, tí wọ́n sì ń yọ mí lẹ́nu púpọ̀.","Yes. Some small rashes have appeared on my body, and they are bothering me a lot.","Yes. Some small wounds have appeared on my body, and they are itching me much."
Your estimated due date is in three months.,Ó dára. Mo ti ń gbèrò fún rẹ̀ láti ìgbà pípẹ́. Mo nílò láti ra àwọn nǹkan ọmọ.,Okay. I've been planning for it for a long time. I need to buy baby items.,It is good. I have been planning for it from time long. I need to buy things child.
How many weeks pregnant are you?,"Oṣù mẹ́ta gbáko ni mo wà, n kò sì gbádùn ara mi rárá.","I am exactly three months pregnant, and I don't feel well at all.","Month three exactly is I am, I not and enjoy body my at all."
What kind of pain are you feeling in your tooth?,"Eyín mi ń dùn mí gan-an, ó sì ń lu mí. Kò jẹ́ kí n jẹun.","My tooth hurts me a lot, and it's throbbing. It doesn't let me eat.","Tooth my is paining me very much, it also is beating me. It not let me eat."
"Please rate your pain on a scale of 1 to 10, with 10 being the worst.","Ó tó 8, ó ń dun mí gan-an, mo kò lè sùn láàárọ̀ yìí.","It's about 8, it hurts me a lot, I couldn't sleep this morning.","It is about 8, it is hurting me very much, I not able to sleep this morning."
Are you having any difficulty or pain while urinating?,"Bẹ́ẹ̀ni, ìtọ̀ mi ń dún mí, mo sì máa ń yà á nígbà gbogbo.","Yes, I experience pain during urination, and I urinate frequently.","Yes, urine my is hurting me, I usually pass it always."
Is your child eating and drinking fluids normally?,"Rárá, kò fẹ́ jẹun rárá, ó sì ń bì àti pé ìgbẹ́ ríro ń gbé e látìgbà díẹ̀.","No, he doesn't want to eat at all, and he's vomiting and having diarrhoea for a while now.","No, he not want to eat at all, he also is vomiting and that stool loose is carrying him from time a little."
What happened? Can you tell me where you are hurt?,"Ìjàmbá ọkọ̀ ni mo ṣe. Orí mi fọ́ díẹ̀, ẹsẹ̀ mi òtún sì ti fọ́.","I was in a car accident. My head is slightly injured, and my right leg is broken.","Accident car is I did. Head my broke slightly, leg my right also has broken."
Do you have any pain when you urinate?,"Bẹ́ẹ̀ni, ó máa ń jó mi gan-an nígbà tí mo bá ń tọ̀.","Yes, it burns very much when I urinate.","Yes, it uses to burn me very much when I am urinating."
Do you have any difficulties falling or staying asleep?,"Bẹ́ẹ̀ni, mo máa ń yí po lórí ibùsùn fún wákàtí pípẹ́ kí n tó sùn, tí mo bá sì sùn, kò fi bẹ́ẹ̀ pẹ́.","Yes, I usually toss and turn on the bed for a long time before I sleep, and when I do sleep, it's not for long.","Yes, I usually turn around on bed for hours long before I sleep, if I also sleep, it does not so much long."
How long has your child had this persistent cough?,Ó ti tó ọ̀sẹ̀ kan tí ikọ́ yìí ti ń yọ ọ́ lẹ́nu láìdánudúró.,He has had this persistent cough for about a week now.,It has been one week that this cough has been bothering him continuously.
What happened? How did you sustain this injury?,"Mo kò lù mọ́tò kan lórí ọ̀nà, mo sì wó lulẹ̀.","I was hit by a car on the road, and I fell down.","I hit against car one on road, I and fell down."
"Do you have any known allergies to medications, food, or anything else?","Bẹ́ẹ̀ni, mo ní àìlera sí ẹyin àti àwọn òògùn penicillin. Ó máa ń yún mi gan-an.","Yes, I am allergic to eggs and penicillin medications. It causes intense itching.","Yes, I have allergy to egg and the medicine penicillin. It usually itches me very much."
How many glasses of water do you drink daily?,Mo ma ńmu omi tó bii igba mẹ́rin sí márùnún lójojúmọ́.,I usually drink about four to five glasses of water daily.,I usually drink water about glass four to five daily.
